match_score,tier,confidence,title,country,degree_level,funding_type,amount_usd,amount_text,deadline,days_left,url,source,field,university,status
95.87,must_apply,1.0,British Chevening Scholarships in UK for International Students,United Kingdom,Master,Full,,Full funding (see benefits list),2026-10-06T23:59:00,13,https://www.scholars4dev.com/3299/british-chevening-scholarships/,scholars4dev_masters,Any,,active
89.6,must_apply,1.0,Türkiye Bursları (Turkey Scholarships) — Graduate,Türkiye,"Bachelor,Master,PhD",Full,,University placement + monthly stipend + 1 year Turkish language course + accommodation + insurance + round-trip flights,2027-02-20T23:59:00,150,https://www.turkiyeburslari.gov.tr/,major_funders,Any,,active
88.59,must_apply,1.0,Australian Awards Scholarships — Pakistan,Australia,Master,Full,,Full tuition + living allowance + return air travel + startup allowance + pre-course English,2026-10-01T23:59:00,8,https://www.dfat.gov.au/people-to-people/australia-awards/australia-awards-scholarships,major_funders,"Public Policy, Economics, Engineering, Health, Environment",,active
87.66,must_apply,1.0,MEXT (Monbukagakusho) Japanese Government Scholarship — Graduate,Japan,"Master,PhD",Full,9768.0,"Full tuition + ¥143,000–148,000 per month + economy airfare + 6 months Japanese course",2027-05-15T23:59:00,234,https://www.pk.emb-japan.go.jp/itpr_zh/scholarship.html,major_funders,Any,Embassy recommendation and University,active
85.69,must_apply,1.0,Chinese Government Scholarship (CSC) — Type A / Bilateral Program,China,"Bachelor,Master,PhD",Full,4200.0,"Tuition + dorm + 3,000 CNY/month (Master) / 3,500 CNY/month (PhD) + medical insurance",2027-03-31T23:59:00,189,https://www.campuschina.org/scholarship/list.html,major_funders,Any,embassy in Islamabad or the university,active
84.87,must_apply,1.0,DAAD Scholarships in Germany for Development-Related Postgraduate Courses,Germany,"Master,PhD",Full,10812.8,992 euros for,2026-10-31T23:59:00,38,https://www.scholars4dev.com/1002/daad-scholarships-for-postgraduate-courses-with-special-relevance-to-developing-countries/,scholars4dev_masters,,state or state-recognized German university,active
82.4,must_apply,1.0,Australia Research Training Program (RTP) Scholarships,Australia,"Master,PhD",Full,,Full funding (see benefits list),2027-03-31T23:59:00,189,https://www.scholars4dev.com/3023/international-postgraduate-scholarships-at-australian-universities/,scholars4dev_phd,,Participating Universities,active
82.4,must_apply,1.0,Australia Awards Scholarships,Australia,"Bachelor,Master,PhD",Full,,Full funding (see benefits list),2027-04-30T23:59:00,219,https://www.scholars4dev.com/3253/australia-awards-scholarships/,scholars4dev_undergraduate,,postgraduate study at participating Australian universities,active
81.87,must_apply,1.0,Knight-Hennessy Scholars at Stanford University,United States,"Master,PhD",Full,,Full funding (see benefits list),2026-10-06T23:59:00,13,https://www.scholars4dev.com/25420/knight-hennessy-scholars-at-stanford-university/,scholars4dev_masters,Any,Knight-Hennessy Scholars at Stanford University,active
80.53,must_apply,1.0,Rosa Luxemburg Stiftung Scholarships for International Students,Germany,"Master,PhD",Partial,,,2026-10-01T23:59:00,8,https://www.scholars4dev.com/26195/rosa-luxemburg-stiftung-scholarships-for-international-students/,scholars4dev_germany,Any,German universities,active
79.52,must_apply,1.0,Heinrich Boll Scholarships in Germany for International Students,Germany,"Master,PhD",Tuition-only,14715.0,€1350 per month,2027-03-01T23:59:00,159,https://www.scholars4dev.com/3761/heinrich-boll-scholarships-for-international-students/,scholars4dev_germany,Any,international students who gained their university,active
78.4,must_apply,1.0,KTH Scholarships,Sweden,Master,Full,,Full funding (see benefits list),2027-01-15T23:59:00,114,https://www.scholars4dev.com/14048/kth-tuition-fee-waivers-for-non-eu-students/,scholars4dev_masters,,KTH Royal Institute,active
76.75,must_apply,1.0,Fulbright Foreign Student Program in USA,United States,"Master,PhD",Full,,Full funding (see benefits list),2026-10-31T23:59:00,38,https://www.scholars4dev.com/2876/usa-fulbright-scholarships-for-international-students/,scholars4dev_masters,Any,USA Universities,active
76.38,must_apply,1.0,Fulbright Master's Scholarships for Pakistan (EducationUSA),United States,Master,Full,,"Full funding: tuition, monthly stipend, round-trip airfare, accident & sickness cover, book allowance",2026-10-01T23:59:00,8,https://pk.usembassy.edu/fulbright-scholarship-program/,major_funders,Any (excludes some clinical/medical tracks),,active
76.33,must_apply,1.0,Friedrich Ebert Stiftung Scholarships for Foreign Students,Germany,"Bachelor,Master,PhD",Partial,10812.8,€992 per month,2026-11-30T23:59:00,68,https://www.scholars4dev.com/26192/friedrich-ebert-stiftung-scholarships/,scholars4dev_germany,Any,or PhD studies in German universities,active
74.5,strong,1.0,SIDS Scholarships in Water and Sustainable Development at IHE Delft,Netherlands,Master,Full,,Full funding (see benefits list),2027-06-01T23:59:00,251,https://www.scholars4dev.com/29181/sids-scholarships-in-water-and-sustainable-development-at-ihe-delft/,scholars4dev_masters,Environment,IHE Delft,active
73.1,strong,1.0,University of Sydney International Stipend Scholarship (USYDIS),Australia,"Master,PhD",Partial,42754.0,"$42,754",2026-12-18T23:59:00,86,https://www.scholars4dev.com/2053/international-scholarships-at-university-of-sydney/,scholars4dev_masters,,"Read More
University",active
72.97,strong,1.0,DAAD Helmut-Schmidt Masters Scholarships for Public Policy and Good Governance,Germany,Master,Full,10812.8,992 €. The scholarship also,2027-07-31T23:59:00,311,https://www.scholars4dev.com/1010/daad-ms-scholarships-for-public-policy-and-good-governance-ppgg/,scholars4dev_masters,Public Policy,Willy Brandt School of Public,active
71.52,strong,1.0,Commonwealth Master’s and PhD Scholarships for Developing Commonwealth Countries,Developing Commonwealth C,"Master,PhD",Full,21463.0,"£1,690 per",2026-10-20T23:59:00,27,https://www.scholars4dev.com/4900/commonwealth-scholarships-for-developing-commonwealth-countries/,scholars4dev_masters,,UK University,active
71.5,strong,1.0,Erasmus Mundus Joint Masters (EMJM) — full-cycle intake 2027-2028,"Netherlands, Germany, France, Italy, Spain, Sweden, Norway, Portugal",Master,Full,36624.0,"Full fees + living allowance of about €1,400/month for 24 months + travel/top-up costs",2027-01-31T23:59:00,130,https://erasmus-plus.ec.europa.eu/opportunities/opportunities-for-individuals/students/erasmus-mundus-joint-masters,major_funders,Any (each programme defines its own field),,active
70.58,strong,1.0,Invest in Your Talent Scholarships in Italy,Italy,"Master,PhD",Tuition-only,9810.0,€ 9.000,2027-05-11T23:59:00,230,https://www.scholars4dev.com/29469/29469/,scholars4dev_engineering,,Italian Higher Education Institute,active
70.07,strong,1.0,ETH Zurich Excellence Masters Scholarships,Switzerland,Master,Partial,13440.0,"CHF 12,000 per",2026-11-30T23:59:00,68,https://www.scholars4dev.com/9763/eth-zurich-excellence-masters-scholarship-program/,scholars4dev_masters,,Degree Programme offered by the University,active
66.29,strong,1.0,VUW Undergraduate and Postgraduate International Scholarships,New Zealand,"Bachelor,Master",Tuition-only,9000.0,"NZ$15,000 for undergraduate",2027-05-01T23:59:00,220,https://www.scholars4dev.com/25811/tongarewa-scholarship-at-victoria-university-of-wellington/,scholars4dev_undergraduate,,"and Postgraduate International Scholarships
Victoria University",active
65.57,strong,1.0,GREAT Scholarships in UK for International Students,United Kingdom,Master,Tuition-only,12700.0,"£10,000 towards their tuition",2027-06-30T23:59:00,280,https://www.scholars4dev.com/28045/great-scholarships-in-uk-for-international-students/,scholars4dev_masters,,Scholarships in UK for International Students,active
64.7,strong,1.0,KAAD Scholarships in Germany for Developing Countries,Germany,"Master,PhD",Partial,,,2027-01-15T23:59:00,114,https://www.scholars4dev.com/4245/kaad-scholarships-for-developing-countries/,scholars4dev_germany,,German Universities,active
64.39,strong,1.0,Padua International Excellence Scholarship Programme,Italy,"Bachelor,Master",Partial,8720.0,"€8,000 and a tuition fee waiver",2027-04-10T23:59:00,199,https://www.scholars4dev.com/23000/padova-international-excellence-scholarship-programme/,scholars4dev_undergraduate,,"Padua International Excellence Scholarship Programme
University",active
64.37,strong,0.97,The Deutschlandstipendium at German Universities,Germany,"Bachelor,Master",,3270.0,€300 per month,2027-06-21T23:59:00,271,https://www.scholars4dev.com/25540/the-deutschlandstipendium-at-german-universities/,scholars4dev_germany,Any,German Universities,active
62.7,strong,1.0,Gates Cambridge Scholarships for International Students,Ternational Students,"Master,PhD",Full,27940.0,"£22,000 for 12 months at the 2025-2",2026-12-08T23:59:00,76,https://www.scholars4dev.com/2043/gates-scholarships-for-international-students-at-university-of-cambridge/,scholars4dev_masters,Business,,active
